,city,hour,temp_c,wind_kph,cloud
0,Cologne,2022-07-12 00:00,16.4,1.8,11
1,Cologne,2022-07-12 01:00,15.7,0.7,6
2,Cologne,2022-07-12 02:00,14.9,2.2,6
3,Cologne,2022-07-12 03:00,14.4,4.3,9
4,Cologne,2022-07-12 04:00,14.1,4.7,8
5,Cologne,2022-07-12 05:00,14.0,5.8,6
6,Cologne,2022-07-12 06:00,15.8,2.5,8
7,Cologne,2022-07-12 07:00,17.8,2.5,9
8,Cologne,2022-07-12 08:00,19.6,0.7,6
9,Cologne,2022-07-12 09:00,22.0,2.9,8
10,Cologne,2022-07-12 10:00,23.7,5.0,12
11,Cologne,2022-07-12 11:00,28.6,3.6,14
12,Cologne,2022-07-12 12:00,30.7,2.2,11
13,Cologne,2022-07-12 13:00,32.0,0.4,13
14,Cologne,2022-07-12 14:00,30.8,2.5,23
15,Cologne,2022-07-12 15:00,30.8,5.0,25
16,Cologne,2022-07-12 16:00,30.4,5.8,27
17,Cologne,2022-07-12 17:00,29.8,5.4,34
18,Cologne,2022-07-12 18:00,29.3,4.7,41
19,Cologne,2022-07-12 19:00,27.5,4.0,44
20,Cologne,2022-07-12 20:00,24.8,3.2,29
21,Cologne,2022-07-12 21:00,23.0,3.6,21
22,Cologne,2022-07-12 22:00,21.9,5.8,18
23,Cologne,2022-07-12 23:00,20.9,7.2,23
24,Cologne,2022-07-13 00:00,20.0,7.9,32
25,Cologne,2022-07-13 01:00,20.9,6.8,32
26,Cologne,2022-07-13 02:00,20.8,8.3,24
27,Cologne,2022-07-13 03:00,20.6,7.9,32
28,Cologne,2022-07-13 04:00,20.1,7.9,38
29,Cologne,2022-07-13 05:00,20.1,7.6,24
30,Cologne,2022-07-13 06:00,20.6,7.2,19
31,Cologne,2022-07-13 07:00,21.2,6.5,10
32,Cologne,2022-07-13 08:00,25.6,8.3,8
33,Cologne,2022-07-13 09:00,27.8,12.6,15
34,Cologne,2022-07-13 10:00,28.2,14.4,17
35,Cologne,2022-07-13 11:00,30.0,14.4,13
36,Cologne,2022-07-13 12:00,30.2,16.6,26
37,Cologne,2022-07-13 13:00,31.3,17.3,21
38,Cologne,2022-07-13 14:00,32.3,17.6,13
39,Cologne,2022-07-13 15:00,35.1,20.2,8
40,Cologne,2022-07-13 16:00,34.1,21.2,12
41,Cologne,2022-07-13 17:00,31.1,19.1,16
42,Cologne,2022-07-13 18:00,29.7,17.6,14
43,Cologne,2022-07-13 19:00,28.2,16.2,10
44,Cologne,2022-07-13 20:00,26.1,15.8,11
45,Cologne,2022-07-13 21:00,22.8,16.2,9
46,Cologne,2022-07-13 22:00,21.0,12.6,25
47,Cologne,2022-07-13 23:00,19.5,9.4,26
48,Cologne,2022-07-14 00:00,18.5,7.2,23
49,Cologne,2022-07-14 01:00,17.8,6.5,27
50,Cologne,2022-07-14 02:00,17.4,4.3,31
51,Cologne,2022-07-14 03:00,17.1,5.4,32
52,Cologne,2022-07-14 04:00,16.5,4.0,11
53,Cologne,2022-07-14 05:00,16.3,2.2,49
54,Cologne,2022-07-14 06:00,17.6,2.9,36
55,Cologne,2022-07-14 07:00,18.9,4.3,44
56,Cologne,2022-07-14 08:00,20.0,7.2,14
57,Cologne,2022-07-14 09:00,20.4,6.8,15
58,Cologne,2022-07-14 10:00,21.9,7.9,22
59,Cologne,2022-07-14 11:00,24.7,9.7,30
60,Cologne,2022-07-14 12:00,26.3,13.7,42
61,Cologne,2022-07-14 13:00,24.8,14.8,27
62,Cologne,2022-07-14 14:00,26.3,14.0,23
63,Cologne,2022-07-14 15:00,26.1,15.8,24
64,Cologne,2022-07-14 16:00,26.3,15.5,19
65,Cologne,2022-07-14 17:00,26.5,17.3,14
66,Cologne,2022-07-14 18:00,26.0,19.8,18
67,Cologne,2022-07-14 19:00,25.6,20.9,26
68,Cologne,2022-07-14 20:00,22.1,21.2,23
69,Cologne,2022-07-14 21:00,19.5,17.3,7
70,Cologne,2022-07-14 22:00,17.8,14.0,6
71,Cologne,2022-07-14 23:00,16.4,11.5,8
72,Munich,2022-07-12 00:00,12.5,4.3,59
73,Munich,2022-07-12 01:00,12.0,4.3,47
74,Munich,2022-07-12 02:00,11.6,4.0,54
75,Munich,2022-07-12 03:00,11.2,4.3,22
76,Munich,2022-07-12 04:00,11.1,4.3,39
77,Munich,2022-07-12 05:00,11.1,4.3,18
78,Munich,2022-07-12 06:00,12.7,4.0,17
79,Munich,2022-07-12 07:00,14.9,4.7,8
80,Munich,2022-07-12 08:00,17.1,4.7,10
81,Munich,2022-07-12 09:00,18.6,6.5,11
82,Munich,2022-07-12 10:00,20.1,8.3,27
83,Munich,2022-07-12 11:00,21.3,10.1,29
84,Munich,2022-07-12 12:00,22.1,11.2,46
85,Munich,2022-07-12 13:00,22.8,10.1,46
86,Munich,2022-07-12 14:00,23.4,9.4,32
87,Munich,2022-07-12 15:00,23.7,9.4,27
